product_name,prices,discount_percent,stars,rating,total_purchased,deal,device_setup
"ASUS TUF Gaming F17 - Gaming Laptop, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit/Black/2.60 kg),FX706HF-HX019W","₹56,990₹56,990",(3% off),3.9 out of 5 stars,313,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Zenbook 14 (2023), AMD Ryzen 7 7730U, 14"" (35.56 cm) 2.5K, Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Alexa Built-in/Backlit KB/FP Sensor/Jade Black/1.35 kg), UM3402YA-KP741WS","₹69,990₹69,990",(41% off),3.7 out of 5 stars,6,No data,Save extra with No Cost EMI,Service: Device Setup
"(Refurbished) Lenovo ThinkPad 7th Gen Intel i5,16 GB,1TB HDD + 256 GB SSD,14"" (35.6 cm) HD Touchscreen Laptop (Windows 11/MS Office/WiFi/Webcam/Intel Graphics/Thin & Light)","₹24,499₹24,499",(76% off),4.4 out of 5 stars,7,No data,Save extra with No Cost EMI,No data
"AVITA Laptop Liber E Intel Core I3-1215U 15.6 Inch 8Gb Ram, 512Gb Ssd - Windows 11 Home","₹25,494₹25,494",(53% off),5.0 out of 5 stars,1,No data,Save extra with No Cost EMI,Service: Device Setup
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 4050 Graphics 6GB VRAM, 144Hz Display (16GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51","₹78,125₹78,125",(25% off),4.0 out of 5 stars,454,100+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook S15 OLED (2022) 15.6"" (39.62 cms) FHD OLED, Intel Core i5-12500H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Iris Xe Graphics/Windows 11/Office 2021/Green/1.8 kg) K3502ZA-L503WS","₹63,999₹63,999",(31% off),4.0 out of 5 stars,543,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 5800H 15.6"" (39.62cm) FHD IPS Gaming Laptop (16GB/512GB SSD/4GB NVIDIA RTX 3050/120Hz/Win 11/Office 2021/Backlit/3months Game Pass/Shadow Black/2.25Kg), 82K201UMIN","₹69,990₹69,990",(38% off),4.3 out of 5 stars,218,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15, 12th Gen Intel® Core™ i3-1215U,15.6-inch(39.6 cm),FHD,Anti-Glare,MSO,8GB DDR4 (3200MHz),512GB SSD,Dual speakers,Windows 11,Natural Silver,1.69kg, 15s-fq5007TU","₹37,998₹37,998",(32% off),4.1 out of 5 stars,8,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg","₹40,990₹40,990",(24% off),4.0 out of 5 stars,35,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo V15 AMD Ryzen 5 7520U 15.6"" (39.62cm) FHD 250 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/DOS/Arctic Grey/1.65 Kg), 82YU00W9IN","₹33,990₹33,990",(41% off),4.3 out of 5 stars,5,No data,Save extra with No Cost EMI,No data
"ASUS [Smartchoice] ROG Strix G16, 16""(40.64cm) FHD+ 165Hz, 13th Gen Intel Core i7-13650HX, Gaming Laptop(16GB DDR5/1TB SSD/NVIDIA GeForce RTX 4060 /Win 11/MSO 21/Eclipse Gray/2.50 Kg), G614JV-N3474WS","₹1,39,990₹1,39,990",(14% off),4.5 out of 5 stars,16,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell Inspiron 5440 Laptop, Intel Core 7 150U Processor, 16GB DDR5 + 1TB SSD, 14"" (35.62cm) FHD+AG NonTouch 250nits WVA Display, Backlit KB + FPR, Win 11 + MSO'21 + 15 Month McAfee, Ice Blue, 1.54kg","₹88,290₹88,290",(15% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"Acer Nitro V Gaming Laptop 13th Gen Intel Core i5-13420H with RTX 3050 Graphics 6 GB VRAM, 144Hz Display (16 GB DDR5/ 1 TB SSD/Windows 11 Home/Wi-Fi 6),15.6""(39.6cms) FHD ANV15-51","₹76,645₹76,645",(21% off),4.0 out of 5 stars,454,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15"" (39.6cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 Mon Game Pass/Grey/1.6Kg), 83ER00BCIN","₹54,390₹54,390",(31% off),5.0 out of 5 stars,2,No data,Save extra with No Cost EMI,Service: Device Setup
"Samsung Galaxy Book3 Pro 360 Intel 13th Gen i7 EvoTM 40.62cm(16"") Touchscreen 2-in-1 3K Display, 120Hz, Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/S-Pen/Graphite/1.6Kg), NP960QFG-KA1IN","₹1,09,990₹1,09,990",(46% off),4.1 out of 5 stars,28,No data,Save extra with No Cost EMI,Service: Device Setup
"MSI Modern 14, Intel 13th Gen. i5-1335U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe Graphics/Classic Black/1.4Kg), C13M-436IN","₹48,990₹48,990",(34% off),3.9 out of 5 stars,134,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 5 13th Gen Intel Core i5 13420H 14"" (35.5cm) WUXGA OLED 400Nits Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Grey/1.46Kg), 82XD005RIN","₹68,990₹68,990",(27% off),3.9 out of 5 stars,20,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Victus Gaming Laptop, 13th Gen Intel Core i5-13420H, 4GB RTX 2050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144 Hz, 16GB DDR4, 1TB SSD, HD camera, Backlit KB, B&O, 9ms, (Win 11, Blue, 2.29 kg), fa1128TX","₹63,698₹63,698",(29% off),3.8 out of 5 stars,5,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"AVITA Laptop Pura S102 15.6 Inch Celeron 8Gb Ram, 512Gb Ssd - Intel, Windows 11 Home","₹17,231₹17,231",(48% off),3.2 out of 5 stars,7,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ544WS","₹53,579₹53,579",(30% off),3.8 out of 5 stars,14,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (35.5cm) WUXGA+ IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 Month Game Pass/Cloud Grey/1.46Kg), 83BF000UIN","₹60,990₹60,990",(19% off),4.1 out of 5 stars,428,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15, AMD Ryzen 5 7520U, 15.6-inch (39.6 cm), FHD, 16GB LPDDR5, 512GB SSD, AMD Radeon graphics, FHD camera w/privacy shutter, Backlit KB (Win 11, MSO 2021, Silver, 1.59 kg), fc0030AU","₹45,499₹45,499",(22% off),3.6 out of 5 stars,24,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15s, Intel Celeron, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD graphics, Thin & light, Dual speakers, BrightView display (Win 11, MSO 2021, Silver, 1.65 kg), fq3071TU","₹28,990₹28,990",(15% off),3.2 out of 5 stars,244,No data,Save extra with No Cost EMI,Service: Device Setup
"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (8GB RAM/512GB SSD/4GB RTX 2050 Graphics/60Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG","₹51,490₹51,490",(41% off),4.0 out of 5 stars,943,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell 15 Thin & Light Laptop, 13th Genaration Intel Core i5-1335U Processor/ 8GB/ 1TB SSD/ 15.6"" (39.62cm) FHD Display/Backlit Key Board/Silver/Win 11 + MSO'21/15 Month McAfee/ 1.66kg","₹54,990₹54,990",(37% off),3.8 out of 5 stars,77,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook 15 (2023), Intel Core I5-13500H 13Th Gen, 15.6"" (39.62 Cms) Fhd, Thin and Light Laptop (16Gb/512Gb Ssd/Intel Iris X?/Win 11/Office 2021/Backlit Kb/Blue/1.7 Kg), X1502Va-Nj541Ws","₹67,204₹67,204",(13% off),4.0 out of 5 stars,172,No data,Save extra with No Cost EMI,Service: Device Setup
"HONOR MagicBook X14 (2023), 12th Gen Intel Core i5-12450H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint Login/1.43Kg), Gray","₹54,990₹54,990",(31% off),4.3 out of 5 stars,443,No data,Save extra with No Cost EMI,Service: Device Setup
"HP 15s-Ryzen 3 3250U 8GB SDRAM/256GB SSD 15.6inch(39.6cm) HD, Micro-Edge Laptop/AMD Radeon Graphics/Dual Speakers/Win 11 Home/MS Office/Fast Charge/Jet Black/1.69Kg, 15s-ey1508AU","₹27,990₹27,990",(30% off),3.8 out of 5 stars,305,No data,Save extra with No Cost EMI,Service: Device Setup
"Acer Aspire Lite 12th Gen Intel Core i5-1235U Premium Laptop (16 GB RAM/1 TB SSD/Win11 Home/Intel Graphics) AL15-52, 39.62cm (15.6"") Full HD Display, White Backlit Keyboard, Steel Gray, 1.59KG","₹47,990₹47,990",(28% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 4th Gen 11.6'' (29.46cm) HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/Office 2021/3months Game Pass/Platinum Grey/1.2Kg), 81VT009UIN","₹27,290₹27,290",(22% off),3.8 out of 5 stars,944,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/FPR/Arctic Grey/1Y Onsite + Premier Support/1.38Kg), 21KG00AFIN","₹43,990₹43,990",(42% off),3.3 out of 5 stars,3,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,W11+MSO,B&O,9ms response time(Mica Silver, 2.29 kg),15-fa1099TX","₹59,990₹59,990",(29% off),4.1 out of 5 stars,419,No data,Save extra with No Cost EMI,Service: Device Setup
"HP Laptop 15,13th Gen Intel® Core™ i3-1315U,15.6inch(39.6 cm),FHD,Anti-glare,8GB DDR4,512GB SSD,Dual speakers,Windows 11,MSO 2021,Natural Silver,1.59 kg,15-fd0186TU","₹40,999₹40,999",(19% off),4.0 out of 5 stars,1,No data,Save extra with No Cost EMI,Service: Device Setup
"GIGABYTE G5 MF-E2IN313SH 12th Gen Intel® Core (15.6 FHD 144Hz(45%)/i5 12500H/RTX 4050 6G/DDR4 3200 8GB*2/GEN4 512G/AX211/WIN11 Home) Gaming Laptop (Black, 2.08 kg)","₹81,466₹81,466",(43% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"MSI Thin A15, Ryzen 5 7535Hs, 40Cm Fhd 144Hz Gaming Laptop(16Gb/512 Gb Nvme Ssd/Windows 11 Home/Nvidia Geforce RTX 3050, Gddr6 4Gb /Cosmos Gray/1.86Kg), B7Uc-067In - AMD","₹65,990₹65,990",(16% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","₹60,990₹60,990",(19% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"Dell XPS 9315 Laptop, Intel Core i7-1250U Processor, 16GB, 1TB SSD, 13.0"" (33.02cm) 3K AR+AS Gorilla Glass 500 nits Touch, XPS Stylus, Win 11 + MSO'21, 15 Months McAfee, Backlit KB + FPR, Sky, 1.25kg","₹1,72,893₹1,72,893",(16% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo ThinkPad E16 Intel Core i3 13th Gen 16"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/DOS/FPR/Graphite Black/1Y Premier Support/1.77 kg), 21JN004DIG","₹43,600₹43,600",(41% off),3.8 out of 5 stars,89,No data,Save extra with No Cost EMI,No data
"Modern 14 H, Intel Core i7 13620H,36CM Laptop(16GB/1TB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.6Kg), D13MG-072IN","₹68,990₹68,990",(13% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Zenbook 14 (2023), AMD Ryzen 5 7530U, 14.0"" (35.56 cm) 2.5K QHD+, Thin and Light Laptop (16GB/1TB SSD/Windows 11/Office 2021/Backlit KB/FP Sensor/75WHr Battery/Black/1.35 Kg), UM3402YA-KP551WS","₹69,990₹69,990",(38% off),4.0 out of 5 stars,102,No data,Save extra with No Cost EMI,Service: Device Setup
"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg), 82VG00ESIN","₹35,990₹35,990",(47% off),3.6 out of 5 stars,4,No data,Save extra with No Cost EMI,Service: Device Setup
Microsoft Surface Laptop Studio - 14.4 Inches Touchscreen - Intel ® Core I5-16Gb Memory - 256Gb Ssd - Platinum Windows 11 (Thr-00022),"₹1,56,990₹1,56,990",(14% off),3.4 out of 5 stars,3,No data,Save extra with No Cost EMI,No data
"ASUS Vivobook 15 OLED (2023), Intel Core i5-1335U 13th Gen, 15.6"" (39.62 cm) FHD OLED, Thin and Light Laptop (16GB/512GB/Win11/Office 2021/Fingerprint/Silver/1.7 kg), X1505VAU-LK544WS","₹79,873₹79,873",(14% off),4.3 out of 5 stars,8,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS TUF F15 Gaming Laptop, Intel Core i5-11400H 11th Gen, 15.6""(39.62 cms) FHD 144Hz, RTX 3050 4GB Graphics, (8GB RAM /512GB SSD/90WHrs Battery/Windows 11/Office 2021/Black/2.3 kg) FX506HC-HN089WS","₹60,990₹60,990",(31% off),4.2 out of 5 stars,218,50+ bought in past month,Save extra with No Cost EMI,Service: Device Setup
"ASUS Tuf Dash F15 (2021), 15.6 Inches Fhd 144Hz, Intel Core I5-11300H 11Th Gen, RTX 3050 Ti 4Gb Graphics Gaming Laptop (16Gb Ram/512Gb Ssd/Office 2019/Windows 10/White/2 Kg) Moonlight White","₹99,000₹99,000",(18% off),4.4 out of 5 stars,29,No data,Save extra with No Cost EMI,Service: Device Setup
"MSI Katana A15 AI, AMD Ryzen 9 8945HS, Built-in AI, 40CM FHD 144Hz Gaming Laptop(16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4070, GDDR6 8GB/Black/2.25Kg), B8VG-440IN","₹1,44,990₹1,44,990",(10% off),No rating,No data,No data,Save extra with No Cost EMI,Service: Device Setup
"ASUS Vivobook 15, 15.6"" (39.62cm) FHD, Intel Core i7-12700H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Icelight Silver/1.7 Kg), X1502ZA-EJ745WS","₹61,990₹61,990",(23% off),No rating,No data,No data,Save extra with No Cost EMI,No data
"Lenovo Yoga Slim 7 Carbon Intel Evo Core i7 1360P 13.3""(33.7cm) 2.5K IPS 400Nit Laptop(16GB/1TB SSD/Win 11/Office 2021/Backlit KB/1Yr Warranty/Alexa/3 Month Game Pass/Moon White/984g),83AY003CIN","₹1,23,190₹1,23,190",(30% off),5.0 out of 5 stars,1,No data,Save extra with No Cost EMI,Service: Device Setup
HP Envy x360 12th Gen Intel Core i5-13.3 inch(33.8 cm) OLED Multi-Touch Gorilla Glass 2-in-1 Laptop(16GB RAM/512GB SSD/400 nits/Win 11/Intel Iris Xe Graphics/Alexa/B&O/Zenvo Pen/MSO/1.32Kg)13 bf0058TU,"₹95,029₹95,029",(14% off),2.6 out of 5 stars,3,No data,Save extra with No Cost EMI,Service: Device Setup
